"Y","x1","x2","x3","x4","x5","x6","x7","x8","x9","group"
-10.0252286503352,0,1,0,1,0.609884765891038,-1.07240986457506,-0.238784760168374,-0.0790531129917581,-1.44578930813299,"External"
2.07692428395286,0,0,0,1,-0.743240528619066,0.590366216776151,-0.380745963200807,0.862703500955088,-1.41788194726193,"External"
2.41168236507279,1,0,0,0,2.03004329122896,-1.84780306080535,1.39328460667975,-0.900098728321794,0.302269264128017,"External"
0.0813841588424238,0,0,0,0,-0.202290914474267,0.305883217554107,-1.8206408779009,-0.0056563229507088,-0.531614871637101,"External"
-8.36058502923195,1,0,0,0,-0.00574881439375933,-1.02411926593133,1.68097235682544,0.171401810635029,0.0859966854223594,"External"
-3.88583160802205,0,1,1,1,0.710249359190718,0.537062594020926,0.634517985488378,-1.19706142519439,-0.668033225358967,"External"
-10.9900389250166,0,0,0,0,0.149577407524687,-1.02691595713091,-0.718127220592011,-1.28467659004323,-0.211245129600742,"External"
-0.428791689009025,0,1,1,1,0.0130306802237169,0.553588247965794,1.600853600315,0.841951372173403,0.774456512442497,"External"
-4.81485459218483,0,0,0,1,-0.647656281876091,0.195887898972982,-0.961577348541616,-1.64541223319486,-0.789510692317275,"External"
9.739008647701,1,0,1,1,-0.31421555861344,0.0475783541970223,-0.731583841210111,-0.10963314739653,0.366788292472889,"External"
1.19637503519175,0,0,1,0,-0.501410675947462,-0.127466564168847,-0.714327523283522,-0.12748230649823,-1.64245892292815,"External"
-0.326680220096126,0,1,1,0,-0.454802141243899,0.307550867810388,0.490464760929496,0.461425558368112,0.515690571150368,"External"
14.4762530196862,0,0,0,1,2.58110908194483,2.2809994535935,2.02107094374812,-0.511347479459954,2.13229635472999,"External"
3.22708463315366,0,0,0,0,-1.42926161934995,0.870965715329123,-1.05089383565895,-0.0333691126096431,-0.495258647515994,"External"
-15.791003105635,0,0,0,0,-0.740467146412233,-0.20540901842972,-0.351135122586097,-1.08491578608396,-0.255567832028056,"External"
2.54563816023139,1,1,0,0,-0.727010337515162,-1.40808859902829,-0.274505397854685,0.666648070458089,0.728776771854263,"External"
8.8047208509514,1,0,1,1,-0.762503886881799,1.42416582931641,-1.1404347897383,-0.791927213419849,0.433142976935699,"External"
-12.330717758808,0,0,0,0,-1.91558357411082,-1.78495170111751,-0.405360126165907,-1.31742965876006,0.40372066765458,"External"
1.59195967191271,1,0,0,1,-1.1883685780897,-0.724625162813453,1.18422082835116,-0.911602924271851,-1.29499332913759,"External"
-4.56539846375247,0,1,1,0,-0.816309311309312,0.124416557580178,1.13018728213001,-0.306783408982738,-0.21614494726417,"External"
-5.37644332658783,0,1,0,1,-0.73732559772728,-1.28679583253054,-0.192562156501014,1.3132122147112,1.92907345077627,"External"
-1.29182148110828,1,1,1,1,1.20379612031651,1.85346964257559,1.18483529197445,-1.01003104967472,-0.935924774500725,"External"
-1.67424033747928,0,1,1,1,-0.542871697816695,-1.20175769420178,-0.609310149052759,1.06641182301074,-0.657575787470417,"External"
1.17591155763274,0,0,0,0,-0.723655315995613,-3.05773144494623,-0.622567876803634,-0.450615593439983,-0.332338856776989,"External"
3.97394135587941,0,1,0,0,-0.261467647997206,0.834693187861651,0.705050263599717,-0.349939692874773,-0.131472901424997,"External"
-8.8734847923775,0,0,1,0,-0.957044158714907,-0.920463251411947,-0.931280229067488,0.0490563545316196,-0.43841613051879,"External"
6.49019932812334,1,0,1,1,0.461913111182155,-0.56559985939662,0.799118023377773,-1.02610391788315,-0.057469813529428,"External"
3.00050029602221,0,0,1,1,-1.60575299020597,-0.0402866908125297,-1.5229288445704,0.0652275034625546,0.71513672221339,"External"
0.943608173021604,1,1,1,0,0.501380761070129,0.169731737155281,1.49433998842869,-0.338364193430976,0.0926647494874677,"External"
-4.62929370586379,0,0,1,1,1.11714552311248,-0.0291142222776465,-0.623114804196108,-1.17705653610129,0.0287742053600509,"External"
19.8988591043359,1,1,0,1,0.545299740346282,-0.0299629096610012,1.81076867509701,-0.612767475619925,0.50493033433436,"External"
-1.29686157324207,0,1,1,0,1.1166081742993,-0.284519358519058,0.488082382942724,0.248110553621101,-0.854224927415029,"External"
-1.7217343485401,0,0,0,0,-2.16546282622572,-1.39863704846718,0.68362203481589,-0.68682082571577,-1.93903268552301,"External"
-3.69848864636222,0,1,0,1,-0.921318671014076,0.146617445224636,0.753321968816197,-0.0859684082652851,-0.630349828251987,"External"
1.6485216881567,1,0,1,1,0.0850210171174008,-0.49972731272492,-2.03254081408727,-0.0169429213810617,-0.804584912627762,"External"
-6.33202342887157,1,0,1,1,0.626362258768272,0.9250772424513,-0.385527810296823,-1.29673865087644,-2.27791731149201,"External"
-10.9557045378444,1,0,0,0,0.0492063411648154,0.768567697390523,-0.514370985707432,-0.254929518680975,-0.187721720106053,"External"
8.02460522974652,1,0,0,0,-0.712617734834467,-0.133036210314144,0.717722538648091,0.594315784101764,-2.29009604476461,"External"
-0.295984283553169,0,0,0,0,-0.200316613149626,0.0858110649231266,-1.11716372031671,0.145811886455565,-1.90632446628324,"External"
3.16543712344835,0,0,0,0,1.13996710492989,1.37330297118081,0.130454574687779,0.346659324419895,-1.12058893221965,"External"
-9.3705071299547,1,0,0,0,0.510420377710638,-1.48377407353361,0.671425535759286,0.00563741466315815,1.52938800244725,"External"
3.22313588736023,1,0,1,0,-0.0775282829705279,-1.04052520226787,0.819962655349268,0.401336126303066,1.18252603103328,"External"
10.1091308355763,0,1,1,0,0.49197793911782,1.05736803482278,-1.47422530149566,0.886765210093436,1.36794076947231,"External"
15.873634417491,1,1,1,1,1.015636931445,0.728404522276056,0.502840684237149,0.172429633920888,1.42450741980854,"External"
